Churn,account_Contract_month-to-month,customer_tenure,internet_Service_fiber_optic,account_Payment_electronic_check,account_Contract_two_year,account_Charges_Total
0,1,33,1,1,0,3645.5
0,1,10,0,0,0,187.75
1,1,21,1,1,0,2317.1
1,1,37,0,0,0,1448.8
0,1,26,1,0,0,2193.65
0,0,50,0,0,0,1748.9
1,1,7,1,1,0,511.25
0,0,61,0,0,1,5526.75
1,1,15,1,1,0,1553.95
0,1,26,0,0,0,1147.0
0,1,72,1,1,0,6747.35
0,0,44,0,0,0,865.05
0,1,66,1,0,0,5976.9
1,1,2,1,1,0,181.65
0,0,44,0,0,0,3268.05
1,1,12,1,0,0,1052.4
0,0,69,1,1,1,7634.25
1,1,1,1,0,0,80.2
1,1,3,0,0,0,63.75
0,1,2,1,1,0,190.5
0,1,27,1,0,0,2401.05
0,1,26,0,1,0,511.25
0,1,39,1,1,0,3949.15
1,1,25,1,0,0,2362.1
1,1,1,1,0,0,70.9
1,1,22,0,1,0,1152.7
0,0,72,1,1,1,8496.7
0,0,24,0,0,1,470.2
0,1,19,1,1,0,1564.4
0,0,71,0,0,1,1847.55
0,1,33,1,0,0,3694.7
0,1,3,0,0,0,58.0
0,1,47,1,1,0,4017.45
0,0,62,1,0,1,6825.65
0,0,71,1,0,0,8309.55
0,1,7,1,1,0,605.45
0,1,27,1,0,0,1972.35
0,1,2,0,0,0,33.7
0,0,25,0,0,1,844.45
0,1,30,0,1,0,2111.3
1,0,58,1,0,0,6205.5
1,1,10,1,1,0,855.3
0,1,9,1,0,0,633.85
1,1,6,1,1,0,474.9
0,0,69,1,0,0,5848.6
0,0,66,1,0,1,6471.85
1,0,70,1,0,0,8127.6
1,0,25,0,0,0,676.35
0,0,46,0,0,1,864.2
0,0,54,1,0,0,6049.5
1,1,15,1,1,0,1582.75
0,1,12,0,0,0,198.1
0,1,22,0,1,0,1098.85
0,0,70,0,0,1,4039.3
0,1,30,1,0,0,2438.6
0,0,71,1,0,0,7113.75
0,0,30,0,0,0,576.65
1,1,4,1,0,0,371.9
1,1,2,1,1,0,167.3
0,0,10,0,0,0,219.5
0,1,4,1,1,0,273.4
0,1,52,0,0,0,2555.05
1,1,5,0,1,0,223.15
0,0,8,0,0,1,165.5
0,1,2,0,1,0,89.3
0,1,3,1,1,0,235.05
0,1,19,0,1,0,1144.6
0,0,72,0,0,1,4908.25
0,0,63,0,0,0,2298.9
0,0,66,0,0,1,3789.2
1,1,1,1,1,0,75.9
0,0,60,1,0,0,4765.0
0,0,48,0,0,0,2196.3
1,1,1,1,0,0,85.55
1,1,15,1,1,0,1444.65
0,1,50,1,0,0,5405.8
0,0,72,0,0,1,6339.3
0,1,46,1,0,0,3847.6
0,0,72,0,0,1,6733.0
0,1,1,0,0,0,19.7
0,1,1,0,1,0,50.1
0,0,67,1,0,1,6140.85
0,0,48,0,1,1,3870.3
0,0,72,1,1,1,7624.2
0,0,52,0,0,0,4354.45
0,0,67,0,0,0,3431.75
1,1,28,1,1,0,2227.1
0,1,32,0,0,0,2045.55
1,1,27,1,0,0,1929.35
0,1,3,1,1,0,268.45
1,1,2,1,1,0,181.5
1,1,9,0,0,0,651.4
0,0,50,0,0,1,3486.65
0,0,71,0,0,1,1389.6
1,1,32,1,1,0,2303.35
0,1,16,1,0,0,1522.7
0,0,67,1,0,1,6717.9
0,0,72,1,0,1,8058.55
1,1,3,0,1,0,58.85
0,0,23,0,0,0,538.5
0,0,72,0,0,1,5102.35
0,1,7,0,0,0,465.7
0,1,8,0,1,0,475.1
0,0,66,0,0,1,3364.55
1,1,5,0,0,0,113.85
1,1,49,1,0,0,5036.3
0,0,63,0,0,1,1234.8
0,1,12,0,0,0,355.9
0,1,27,0,0,0,1510.3
0,1,35,0,1,0,1982.6
0,1,54,0,1,0,4524.05
1,1,1,1,1,0,95.45
0,1,5,0,0,0,318.1
0,0,19,0,0,0,1231.85
0,0,52,0,0,1,2554.0
0,0,72,0,0,1,4684.3
0,0,32,0,0,1,614.45
1,1,8,1,1,0,842.9
0,0,41,0,0,0,2531.8
0,1,5,0,0,0,86.05
0,0,11,0,0,0,402.6
1,1,5,1,1,0,453.4
0,0,16,0,0,0,326.65
0,0,71,1,0,0,7382.85
0,0,11,0,0,0,422.6
1,1,61,1,1,0,6010.05
0,0,71,0,0,0,6046.1
0,1,9,0,0,0,178.8
0,1,6,0,1,0,314.6
1,1,26,1,0,0,2274.35
0,1,6,0,0,0,322.9
0,1,11,1,1,0,888.75
1,1,1,1,1,0,80.55
0,0,49,0,0,1,973.35
0,1,3,0,0,0,168.6
0,0,53,1,0,1,5424.25
1,1,23,1,1,0,2331.3
1,1,2,0,1,0,89.5
1,1,1,0,0,0,48.55
0,0,3,0,0,1,121.25
1,1,68,1,1,0,6851.65
1,1,8,1,1,0,740.3
0,0,70,1,1,0,6982.5
0,0,39,1,1,0,3835.55
1,1,1,1,1,0,70.1
1,1,3,1,1,0,315.3
0,0,60,1,0,0,6157.6
1,1,5,1,1,0,330.15
1,1,3,1,1,0,233.7
0,0,55,0,0,0,3462.1
0,0,72,0,0,1,4390.25
0,0,72,0,0,1,5360.75
1,1,41,1,1,0,4443.45
0,0,60,0,0,1,2424.5
1,1,6,1,1,0,577.6
0,0,46,1,0,1,4854.3
0,1,15,0,0,0,320.45
1,1,58,1,0,0,5885.4
0,0,23,0,0,1,426.65
1,1,31,1,1,0,2911.3
0,1,11,0,0,0,521.9
0,0,56,1,0,1,5706.3
0,1,25,0,0,0,471.7
0,0,68,0,0,1,4539.6
0,0,40,0,0,1,830.25
1,1,36,1,1,0,3067.2
1,1,32,1,0,0,3432.9
0,0,71,0,0,1,6263.8
0,1,17,1,1,0,1742.5
0,1,18,1,1,0,1468.75
0,1,37,1,0,0,3382.3
0,1,2,0,0,0,46.35
0,0,28,1,0,0,1992.2
0,0,9,0,0,0,373.0
0,1,1,0,1,0,50.15
0,0,65,0,0,1,1414.45
0,1,3,0,1,0,122.7
1,1,1,0,1,0,34.7
0,1,36,1,1,0,3366.05
1,1,23,1,1,0,1943.2
0,1,22,0,0,0,1271.8
0,0,72,1,0,1,7965.95
1,1,17,1,1,0,1460.65
1,1,3,1,1,0,272.2
1,0,58,0,0,0,3563.8
0,0,67,0,0,1,5398.6
0,0,34,1,1,0,3343.15
0,1,10,0,0,0,198.7
0,0,69,0,0,1,5897.4
0,0,40,0,0,0,2511.55
0,1,20,0,0,0,1398.6
0,0,46,0,0,1,967.85
1,1,2,1,1,0,139.4
1,1,1,1,0,0,70.45
0,0,72,1,0,1,7589.8
0,0,70,0,0,1,1790.15
0,1,2,0,0,0,44.4
0,1,23,0,0,0,1284.2
0,1,36,1,1,0,3474.2
1,1,59,1,0,0,5574.75
0,0,67,0,0,1,1430.95
0,0,72,1,0,1,7542.25
1,1,37,1,0,0,3545.35
0,0,72,0,0,1,1709.1
0,0,72,0,0,1,1421.9
1,1,3,1,1,0,229.55
1,0,54,1,0,0,5373.1
1,1,60,1,1,0,5742.9
0,0,58,1,0,0,6526.65
0,1,31,1,0,0,2674.15
0,1,3,0,1,0,170.5
0,0,55,0,1,1,3175.85
1,1,1,0,0,0,44.4
0,1,49,1,0,0,4297.95
1,1,8,0,0,0,215.2
0,1,39,1,1,0,4036.0
0,0,66,0,0,1,4428.45
0,0,15,0,0,0,295.95
0,0,51,1,1,0,4947.55
0,1,9,0,0,0,447.9
1,1,1,0,0,0,20.9
0,0,25,0,0,0,516.3
0,1,22,1,0,0,1850.65
0,1,15,0,1,0,749.25
1,0,28,1,0,0,2598.95
0,1,3,1,0,0,237.65
0,1,47,1,1,0,4707.1
0,0,67,0,0,1,5714.2
0,1,18,1,1,0,1294.6
0,0,62,0,0,1,3753.2
0,0,41,0,1,0,3263.9
0,1,44,0,0,0,2139.1
0,0,53,1,0,0,5042.75
0,0,48,0,0,1,1036.0
0,0,54,1,0,0,6431.05
1,1,48,0,0,0,2145.0
0,1,24,1,0,0,2404.85
0,0,33,1,0,1,2651.1
0,0,66,0,1,1,5538.35
0,1,3,1,1,0,200.2
0,0,13,0,0,1,450.4
0,0,63,0,0,1,5435.0
1,1,23,1,1,0,1900.25
0,0,52,0,0,1,1334.5
0,1,3,0,0,0,67.1
0,1,10,0,0,0,503.25
0,0,72,0,0,1,1460.85
0,1,29,1,0,0,2807.1
0,0,62,1,1,0,6312.9
1,0,41,0,1,0,3001.2
1,1,43,1,1,0,3365.85
0,0,26,1,1,1,2715.3
0,1,19,1,1,0,1743.05
0,0,72,0,0,1,1784.5
0,0,45,1,0,0,4735.35
0,0,32,0,0,0,2010.95
0,1,41,0,0,0,996.45
0,0,65,0,0,1,1715.1
1,1,55,1,1,0,5238.9
0,0,11,0,0,1,225.75
0,0,49,0,0,1,3721.9
0,1,61,1,0,0,5943.65
0,1,25,0,0,0,477.6
1,1,1,1,1,0,69.5
0,0,23,0,1,0,1119.35
0,1,21,1,1,0,1558.7
1,1,1,1,1,0,79.7
1,1,5,1,0,0,343.95
0,0,24,0,0,0,1712.9
1,1,27,1,0,0,2467.75
0,0,70,0,0,1,1397.65
1,1,5,1,0,0,349.65
0,0,46,0,0,1,917.45
0,1,2,1,1,0,135.75
0,0,57,0,0,1,1087.7
1,1,1,1,0,0,71.1
0,0,60,1,0,0,6029.0
0,0,37,0,0,1,2278.75
1,1,1,1,0,0,70.45
0,0,28,1,0,0,2799.0
0,1,24,0,0,0,459.95
0,0,62,1,1,0,5755.8
1,0,18,0,0,0,390.85
1,1,5,0,1,0,308.25
0,1,20,0,0,0,442.6
1,1,1,1,0,0,70.75
1,0,35,1,0,0,3626.1
0,1,52,0,1,0,2566.3
1,1,30,1,1,0,2624.25
0,0,72,0,0,1,2962.0
1,1,15,1,1,0,1146.65
0,0,70,1,1,1,7882.5
0,0,66,0,0,1,4378.9
0,1,55,1,1,0,4052.4
1,1,55,1,1,0,4874.7
0,0,57,0,0,0,4140.1
0,0,72,1,1,1,8165.1
0,1,28,0,0,0,563.05
0,0,54,0,0,1,4191.45
0,1,24,1,1,0,1857.75
0,1,2,0,0,0,113.1
0,1,12,0,0,0,235.8
0,0,51,1,0,0,3974.7
0,1,13,0,0,0,931.55
0,0,58,0,0,1,4048.95
0,0,18,0,0,0,957.1
0,0,29,0,0,1,521.8
0,0,72,0,0,1,5430.65
0,0,71,0,0,1,1626.4
0,0,70,0,0,1,3058.15
1,1,9,1,1,0,829.1
0,1,20,1,0,0,1916.2
1,0,69,0,0,0,5356.45
0,0,63,1,0,0,6590.8
0,1,7,0,1,0,438.9
0,0,69,0,0,1,2960.1
1,1,5,0,0,0,135.0
0,1,9,1,1,0,653.9
0,0,46,1,0,1,4630.2
0,0,60,1,1,0,5867.0
1,1,27,1,1,0,2510.2
0,1,16,1,1,0,1374.9
1,1,22,1,1,0,1845.9
0,0,41,1,0,0,3930.55
0,1,4,1,1,0,317.75
0,1,24,1,0,0,2072.75
0,0,38,0,0,1,743.05
0,1,25,0,0,0,1837.9
0,1,40,1,1,0,3168.75
1,1,8,0,1,0,365.55
0,1,13,0,0,0,252.0
0,1,64,1,1,0,5960.5
1,1,62,1,1,0,6283.3
0,1,20,1,0,0,1540.35
1,1,14,0,1,0,667.7
0,0,57,0,0,1,3894.4
0,1,12,0,0,0,837.5
0,0,59,0,0,1,1534.05
0,0,59,0,0,1,4542.35
1,0,53,0,0,1,1052.35
0,0,45,0,0,0,3600.65
0,0,50,0,1,1,1013.2
1,1,20,1,0,0,1820.45
1,1,1,0,1,0,25.25
0,0,70,0,0,1,1401.4
1,1,1,0,1,0,25.05
1,0,64,0,1,1,3147.5
1,1,49,1,0,0,3678.3
1,1,28,1,0,0,2068.55
0,0,72,1,0,1,8071.05
0,1,13,1,0,0,1028.9
0,1,4,0,0,0,84.2
0,0,53,0,0,1,1005.7
0,1,63,1,0,0,5029.05
0,0,10,0,0,1,299.05
0,0,56,0,0,0,1126.75
1,1,10,0,1,0,402.6
0,0,65,1,1,0,6069.25
0,1,1,0,0,0,48.45
1,1,21,0,1,0,840.1
0,0,29,0,0,1,558.8
0,0,72,0,0,1,1776.45
1,0,22,0,0,0,1544.05
1,1,23,1,0,0,2169.8
0,0,40,0,0,0,2921.75
1,1,2,1,1,0,162.45
1,1,13,1,1,0,1095.3
1,1,16,1,0,0,1555.65
1,1,67,1,0,0,6886.25
0,0,72,0,0,1,1493.75
0,1,3,1,0,0,214.4
1,1,47,1,1,0,3825.85
0,1,4,1,1,0,293.85
0,1,18,1,1,0,1359.45
1,1,21,1,1,0,2157.95
0,0,62,0,0,0,4263.45
1,1,7,1,0,0,713.0
0,1,29,0,0,0,1323.7
0,0,48,0,0,0,2985.25
0,0,53,0,0,0,3942.45
0,0,6,0,0,0,105.5
0,0,22,0,0,0,1292.2
1,1,1,0,0,0,25.8
0,0,72,1,1,1,7285.7
0,1,34,1,0,0,2874.45
0,0,48,0,0,0,3435.6
0,1,21,0,1,0,629.35
0,0,71,1,0,0,6687.85
0,1,1,0,0,0,20.25
0,1,1,0,0,0,20.45
0,1,32,1,1,0,2970.8
0,1,1,0,1,0,54.65
0,0,63,0,0,1,4479.2
0,0,72,1,0,1,8543.25
0,0,53,1,1,1,5682.25
1,1,1,1,1,0,69.25
0,0,50,0,1,0,4025.6
1,1,15,1,1,0,1504.05
0,1,21,1,1,0,1818.9
1,1,1,1,1,0,95.0
1,1,2,1,1,0,154.85
1,0,65,0,0,0,4653.85
0,1,52,1,0,0,4433.3
1,1,13,1,1,0,1060.6
0,1,4,0,0,0,67.55
1,0,46,1,1,0,4874.8
1,0,53,1,0,0,5000.2
0,0,40,1,0,0,4335.2
0,1,23,0,1,0,1312.45
1,1,4,1,1,0,338.9
0,1,57,0,0,0,3437.45
0,1,49,1,0,0,4613.95
0,1,9,0,0,0,576.95
1,1,4,1,1,0,364.55
0,0,61,0,0,1,1278.8
0,0,70,0,0,1,5212.65
0,1,13,0,1,0,902.25
0,1,34,0,0,0,2157.5
1,1,9,1,1,0,622.9
0,0,57,1,1,1,5625.55
1,1,12,0,0,0,713.75
0,1,7,1,1,0,715.0
1,1,4,1,1,0,321.75
1,1,1,1,1,0,74.45
0,0,44,0,0,0,3704.15
0,0,45,0,1,0,1596.6
0,0,36,0,0,0,3348.1
1,0,55,1,1,0,5509.3
0,0,69,1,0,1,6743.55
1,1,9,1,1,0,741.7
0,0,71,0,0,1,6287.3
0,1,30,1,0,0,2679.7
0,0,52,0,1,0,1090.65
0,0,52,0,0,1,1270.25
1,1,24,0,0,0,1400.55
0,1,3,0,0,0,225.65
0,0,72,0,0,1,3952.45
0,0,72,1,1,1,7422.1
1,1,4,0,0,0,179.35
1,1,1,1,1,0,82.3
0,0,51,0,0,0,3562.5
0,0,51,0,1,0,2898.95
0,0,72,0,0,1,6224.8
0,1,64,1,0,0,5327.25
1,1,2,0,1,0,56.35
1,0,70,1,0,0,7534.65
0,1,13,0,1,0,528.45
0,0,52,1,1,0,4738.3
0,1,7,0,0,0,141.1
0,0,4,0,0,1,76.65
1,1,2,1,1,0,197.7
0,0,46,0,0,0,1537.85
0,0,54,0,0,1,3409.1
1,1,1,0,1,0,19.3
0,0,72,0,0,1,4575.35
0,0,66,0,0,1,4798.4
0,1,16,1,1,0,1882.55
1,1,3,1,0,0,262.05
0,1,11,0,0,0,723.35
0,0,71,0,0,1,4122.65
1,1,9,0,0,0,296.1
0,0,57,0,0,1,1125.6
1,1,9,1,1,0,918.6
0,0,62,0,0,0,1446.8
0,0,72,0,0,1,1529.65
0,0,66,1,0,0,7238.6
1,1,16,0,0,0,679.85
0,1,16,0,0,0,330.25
0,0,58,0,1,0,1108.8
0,1,4,1,1,0,319.85
0,0,72,0,0,1,1401.15
0,0,67,1,0,0,7332.4
0,0,71,0,1,1,6668.05
0,0,72,0,0,1,1809.35
0,1,15,0,1,0,639.45
0,1,11,0,1,0,321.05
0,0,43,0,0,0,993.15
1,1,3,0,0,0,154.65
0,0,24,0,1,0,1832.4
0,0,52,0,0,0,3877.65
0,1,13,0,1,0,382.2
1,1,1,1,0,0,70.85
0,0,55,0,0,1,4323.35
0,0,42,1,0,1,4135.0
0,1,2,0,0,0,44.2
0,1,1,0,1,0,75.5
1,1,27,1,1,0,2122.05
0,1,17,0,0,0,1077.05
1,1,2,0,1,0,62.25
0,1,27,0,1,0,2310.2
1,1,52,0,1,0,2550.9
0,0,45,1,0,0,4442.75
0,0,71,0,0,1,1372.45
0,0,36,0,0,1,689.0
0,0,15,0,0,0,302.45
0,1,20,1,0,0,1871.15
0,0,71,0,0,1,1396.25
0,0,24,0,0,0,531.55
0,0,71,1,1,1,7984.15
1,1,9,0,0,0,328.95
0,0,66,0,0,1,5958.85
0,0,30,0,0,1,578.5
0,0,47,0,0,0,4138.9
0,1,7,1,1,0,564.65
1,1,1,0,1,0,35.55
0,1,46,0,0,0,2168.9
1,1,53,1,0,0,4517.25
0,0,62,0,0,1,1250.1
0,0,70,0,0,1,3442.8
0,1,16,1,0,0,1461.15
0,1,15,0,1,0,955.15
0,0,45,1,1,0,4483.95
0,0,72,1,0,1,7581.5
0,0,13,0,0,1,265.3
0,1,6,0,0,0,414.1
0,0,18,0,0,0,345.9
0,0,68,1,0,1,7039.45
0,0,64,1,1,0,7222.75
1,0,34,0,0,0,2088.75
0,1,5,0,0,0,392.65
1,1,20,1,1,0,1592.35
0,0,64,1,0,1,6605.55
0,1,26,1,0,0,2067.0
1,1,5,0,0,0,259.8
0,1,2,0,0,0,39.25
1,1,13,1,0,0,1359.0
0,0,59,0,0,0,4096.9
0,1,17,0,0,0,1111.2
1,1,9,1,1,0,723.4
1,1,10,1,0,0,865.55
1,1,5,1,0,0,425.9
1,0,54,1,0,0,5639.05
0,1,56,1,1,0,4922.4
1,1,4,1,1,0,385.9
1,1,2,0,0,0,31.55
0,0,62,0,0,1,4237.5
1,1,27,1,1,0,2754.45
1,1,1,0,0,0,45.7
0,0,53,1,1,0,4872.2
1,1,54,1,1,0,5278.15
0,0,23,0,0,0,1509.8
0,0,6,0,0,0,113.5
0,0,8,0,0,1,343.45
1,1,11,1,1,0,1056.95
0,0,61,1,0,0,5673.7
0,1,34,1,1,0,3527.3
0,1,56,1,0,0,5794.45
0,0,38,0,0,0,730.1
0,0,69,0,0,1,1376.5
0,0,72,1,0,1,8349.45
0,0,70,1,0,1,7987.6
0,1,7,0,0,0,201.95
0,0,61,0,0,1,4860.85
0,1,55,1,0,0,4713.4
0,0,61,0,0,1,4226.7
0,1,14,1,1,0,1346.3
1,0,72,1,0,1,7689.95
0,1,22,1,1,0,1799.3
1,1,3,1,1,0,247.25
0,1,60,1,1,0,5294.6
1,1,3,1,1,0,242.0
0,1,1,0,0,0,19.55
1,1,7,1,0,0,544.55
0,1,4,0,1,0,118.25
0,1,13,1,1,0,1011.8
0,1,3,0,0,0,160.85
0,1,63,1,0,0,5538.8
0,0,36,0,0,0,2606.35
0,0,54,1,0,0,5299.65
0,0,47,0,0,1,1029.8
0,0,41,0,0,1,875.55
0,1,13,0,0,0,718.1
1,1,35,1,1,0,3527.6
1,1,10,1,0,0,788.8
0,0,30,0,0,1,2369.3
0,1,44,1,0,0,4122.9
0,0,47,0,0,1,4107.25
1,1,58,1,1,0,5812.6
0,0,52,0,0,0,1623.4
1,1,7,1,0,0,526.7
1,1,20,1,1,0,1463.5
1,1,13,1,0,0,1230.25
0,1,12,0,0,0,432.25
0,0,54,1,0,0,5060.9
0,0,13,0,1,0,244.8
0,1,7,1,0,0,497.3
0,0,42,1,1,0,4298.45
0,0,65,1,0,1,6700.05
0,0,49,1,0,0,5290.45
0,0,62,0,0,1,1296.15
1,1,32,1,1,0,3183.4
0,0,11,0,0,0,196.35
1,1,1,1,0,0,70.8
0,0,37,0,0,0,677.05
1,1,1,1,1,0,89.55
0,1,1,0,0,0,19.65
0,0,69,0,0,1,1641.8
0,0,72,0,0,1,5011.15
0,0,26,0,0,0,2312.55
0,1,3,0,0,0,98.5
0,0,62,0,0,1,2337.45
1,1,69,1,0,0,7007.6
0,0,26,0,0,0,1285.8
0,1,40,0,1,0,2036.55
0,0,33,0,0,0,1758.9
0,0,72,0,0,1,5824.75
0,1,3,0,1,0,140.4
1,1,18,0,1,0,874.8
0,0,68,0,0,0,3975.9
0,1,19,0,0,0,953.65
0,1,7,0,0,0,344.2
1,1,1,0,0,0,20.1
0,0,56,1,0,0,5264.3
1,1,7,0,0,0,137.6
1,1,5,1,0,0,492.55
0,1,66,1,1,0,6690.75
0,0,7,0,0,0,136.75
0,1,1,0,0,0,19.05
0,1,8,1,1,0,572.85
0,0,62,1,0,0,6703.5
0,1,56,1,1,0,5116.6
0,0,41,0,0,0,962.25
0,0,57,0,0,1,4317.35
1,1,1,0,1,0,24.8
0,0,38,1,0,0,3342.0
1,1,11,1,1,0,825.7
0,1,26,1,0,0,1815.65
0,0,72,0,0,1,5886.85
0,1,30,1,1,0,2917.65
1,1,1,0,0,0,19.55
1,1,1,1,1,0,70.85
0,0,68,0,1,0,5333.35
0,1,63,1,1,0,6479.4
0,1,60,0,0,0,4663.4
0,1,19,0,0,0,414.95
1,0,12,0,0,0,229.6
1,1,41,1,0,0,2868.05
0,0,25,0,0,0,1266.35
0,0,71,1,0,1,7993.3
1,0,56,0,0,1,1327.15
0,1,8,0,0,0,139.75
0,1,20,1,0,0,1493.55
0,0,43,0,0,1,876.15
0,1,17,0,0,0,646.05
0,1,44,0,0,0,780.25
0,1,2,0,0,0,27.55
0,0,71,0,0,1,1397.3
0,0,72,1,0,1,7726.35
0,1,18,0,0,0,391.7
0,0,67,1,0,0,7035.6
0,1,56,1,0,0,5953.0
1,1,1,1,0,0,69.9
0,0,69,1,0,1,6480.9
0,0,1,0,0,0,19.85
1,1,1,0,0,0,20.15
0,0,25,0,1,0,505.45
1,1,1,1,1,0,85.05
0,0,55,0,0,1,1443.65
0,1,53,1,0,0,5935.1
0,0,59,0,0,0,1267.0
1,1,16,1,1,0,1587.55
0,1,7,1,1,0,472.65
0,1,3,0,1,0,82.85
0,0,64,0,0,1,1740.8
0,0,51,0,0,1,4421.95
1,1,1,1,0,0,69.75
0,0,69,0,0,0,1442.65
1,1,1,1,0,0,69.1
0,0,38,0,0,1,743.5
1,1,3,0,0,0,59.75
0,0,56,0,0,1,4261.2
0,0,63,0,0,0,5040.2
0,1,11,0,1,0,601.25
0,0,24,0,0,1,494.05
0,0,72,1,0,1,7611.55
0,0,69,1,0,0,7234.8
0,0,56,1,0,0,5515.45
1,1,17,1,1,0,1313.55
0,0,18,0,0,1,428.45
0,0,11,0,0,1,223.15
0,0,45,0,0,0,2264.5
1,1,47,1,1,0,4504.55
0,0,61,1,0,1,5971.25
0,0,66,1,0,0,4859.25
0,1,42,0,0,0,2455.05
0,0,55,0,0,1,1083.0
0,1,1,0,0,0,19.25
0,0,68,0,1,0,3723.65
0,0,1,0,0,1,20.35
0,1,17,0,0,0,836.35
0,1,15,0,1,0,711.15
0,1,28,0,1,0,1802.15
0,1,28,1,1,0,2998.0
0,0,40,0,0,1,808.95
0,1,63,1,0,0,6780.1
1,1,15,1,1,0,1424.95
1,0,14,1,0,0,1348.9
1,1,54,0,0,0,3092.65
0,0,39,1,1,1,3801.7
0,0,48,0,0,1,1978.65
1,1,16,0,0,0,834.15
0,0,44,0,0,0,3471.1
1,1,1,1,0,0,70.65
0,0,69,0,0,0,3804.4
0,1,49,0,0,0,2106.05
0,0,24,0,0,0,605.25
0,0,71,0,0,1,1756.2
0,0,61,1,0,0,6145.2
0,0,18,0,0,0,407.05
0,1,27,0,1,0,1389.85
0,0,64,1,1,0,7266.95
0,1,1,0,0,0,19.85
0,0,50,0,0,0,4164.4
0,0,30,0,0,0,2198.9
0,0,57,0,0,1,3090.05
0,1,17,0,0,0,475.25
0,0,51,1,0,0,4475.9
1,1,2,0,0,0,75.6
1,1,2,1,1,0,169.8
0,0,60,1,0,0,5811.8
1,0,67,1,0,1,7156.2
0,0,33,0,1,0,1309.0
0,0,38,0,0,0,2708.2
0,1,1,0,1,0,19.75
1,1,1,1,1,0,74.95
0,1,16,0,1,0,321.4
0,0,72,1,0,1,7932.5
0,1,41,0,0,0,3023.55
0,0,65,1,1,1,7337.55
0,0,72,0,0,1,1463.45
0,0,67,0,0,1,1263.05
0,0,49,1,0,0,5168.1
0,1,19,1,0,0,1672.35
0,1,69,1,0,0,5869.4
0,1,47,0,1,0,1139.2
0,0,53,0,0,1,3686.05
0,1,27,1,0,0,2423.4
0,1,11,1,1,0,990.3
0,0,28,1,1,0,2509.25
0,0,53,0,0,0,3491.55
0,0,19,0,0,0,383.65
0,0,3,0,0,0,69.25
0,0,23,0,0,0,1347.15
1,1,10,1,1,0,857.2
0,0,63,0,0,1,5597.65
1,1,38,1,0,0,3233.6
0,0,61,0,0,1,3778.85
0,1,27,1,0,0,2462.55
0,1,1,0,0,0,19.65
1,1,13,1,1,0,1135.7
1,1,7,1,1,0,520.0
0,1,4,1,1,0,294.45
0,1,8,1,1,0,695.75
0,1,12,0,0,0,690.5
1,1,7,0,0,0,415.95
0,0,56,1,0,1,4513.65
0,0,52,0,0,1,1255.1
1,0,23,0,0,0,1067.15
0,1,20,0,1,0,939.8
0,0,68,0,0,1,3948.45
0,1,3,1,0,0,244.85
1,1,6,0,0,0,267.35
0,0,50,0,0,1,1067.65
0,1,60,1,0,0,5450.7
0,1,4,0,0,0,202.25
